"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12877","Complete checkout flow and payment should succeed","","2026-05-25","passed","2026-05-25","Payment Feature Tests","payment.spec.ts","",""
"","18675","Logout successfully","","2026-05-25","passed","2026-05-25","Logout Feature Tests","logout.spec.ts","",""
"","4586","Register fails with empty email","","2026-05-25","passed","2026-05-25","Register Feature Tests","register.spec.ts","",""
"","7355","Search for a non-existing product","","2026-05-25","passed","2026-05-25","Search Product Feature Tests","search.spec.ts","",""
"","7374","Login successfully","","2026-05-25","passed","2026-05-25","Login Feature Tests","login.spec.ts","",""
"","25327","Login fails with empty email","","2026-05-25","passed","2026-05-25","Login Feature Tests","login.spec.ts","",""
"","5163","Search for an existing product successfully","","2026-05-25","passed","2026-05-25","Search Product Feature Tests","search.spec.ts","",""
"","12180","Payment with empty card name should fail","","2026-05-25","passed","2026-05-25","Payment Feature Tests","payment.spec.ts","",""
"","12039","Register fails with incorrect email format","","2026-05-25","passed","2026-05-25","Register Feature Tests","register.spec.ts","",""
"","11259","Checkout without login should show Register/Login modal","","2026-05-25","passed","2026-05-25","Checkout Feature Tests","checkout.spec.ts","",""
"","54884","Payment with short card number should fail","","2026-05-25","failed","2026-05-25","Payment Feature Tests","payment.spec.ts","",""
"","120007","Add multiple products to cart after login should succeed","","2026-05-25","broken","2026-05-25","Cart Feature Tests","cart.spec.ts","",""
"","9541","Login fails with empty email and password","","2026-05-25","passed","2026-05-25","Login Feature Tests","login.spec.ts","",""
"","6226","Login fails with empty password","","2026-05-25","passed","2026-05-25","Login Feature Tests","login.spec.ts","",""
"","71102","multi-product purchase with quantities","","2026-05-25","broken","2026-05-25","E2E Complete User Journey Tests","e2e.spec.ts","",""
"","7677","Checkout with empty cart should not be possible","","2026-05-25","passed","2026-05-25","Checkout Feature Tests","checkout.spec.ts","",""
"","11367","Payment with empty card number should fail","","2026-05-25","passed","2026-05-25","Payment Feature Tests","payment.spec.ts","",""
"","24836","Payment with expired card should fail","","2026-05-25","failed","2026-05-25","Payment Feature Tests","payment.spec.ts","",""
"","69934","complete journey from search to successful order","","2026-05-25","broken","2026-05-25","E2E Complete User Journey Tests","e2e.spec.ts","",""
"","28832","search product and login during checkout","","2026-05-25","passed","2026-05-25","E2E Complete User Journey Tests","e2e.spec.ts","",""
"","15629","Register fails with number as name","","2026-05-25","failed","2026-05-25","Register Feature Tests","register.spec.ts","",""
"","5336","Login fails with incorrect password","","2026-05-25","passed","2026-05-25","Login Feature Tests","login.spec.ts","",""
"","8109","Register fails with empty name and email","","2026-05-25","passed","2026-05-25","Register Feature Tests","register.spec.ts","",""
"","19850","Search with empty keyword","","2026-05-25","passed","2026-05-25","Search Product Feature Tests","search.spec.ts","",""
"","12875","Payment and download invoice should succeed","","2026-05-25","passed","2026-05-25","Payment Feature Tests","payment.spec.ts","",""
"","5044","Register fails with empty name","","2026-05-25","passed","2026-05-25","Register Feature Tests","register.spec.ts","",""
"","41207","Payment with invalid CVC should fail","","2026-05-25","failed","2026-05-25","Payment Feature Tests","payment.spec.ts","",""
"","8353","Login fails with non-existing email","","2026-05-25","passed","2026-05-25","Login Feature Tests","login.spec.ts","",""
"","8655","Register successfully","","2026-05-25","passed","2026-05-25","Register Feature Tests","register.spec.ts","",""
"","10547","Payment with empty CVC should fail","","2026-05-25","passed","2026-05-25","Payment Feature Tests","payment.spec.ts","",""
"","21616","Add product to cart without login should fail","","2026-05-25","failed","2026-05-25","Cart Feature Tests","cart.spec.ts","",""
"","13685","Payment with comment should succeed","","2026-05-25","passed","2026-05-25","Payment Feature Tests","payment.spec.ts","",""
"","57747","failed payment attempt then successful retry","","2026-05-25","failed","2026-05-25","E2E Complete User Journey Tests","e2e.spec.ts","",""
"","6605","Register fails when email already exists","","2026-05-25","passed","2026-05-25","Register Feature Tests","register.spec.ts","",""
"","7938","Login fails with incorrect email format","","2026-05-25","passed","2026-05-25","Login Feature Tests","login.spec.ts","",""
"","27804","Payment with invalid expiry month should fail","","2026-05-25","failed","2026-05-25","Payment Feature Tests","payment.spec.ts","",""
"","25717","Add product from details page with custom quantity without login should fail","","2026-05-25","failed","2026-05-25","Cart Feature Tests","cart.spec.ts","",""
"","20046","Add product from details page with custom quantity after login should succeed","","2026-05-25","passed","2026-05-25","Cart Feature Tests","cart.spec.ts","",""
