"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SEO Optimization","1","Technical SEO & Metadata Compliance","0","0","Phân tích SEO chuyên sâu: Trang thanh toán (Checkout Page)","0"
"0","SEO Optimization","1","Technical SEO & Metadata Compliance","0","0","Phân tích SEO chuyên sâu: Trang chủ (Home Page)","0"
"0","E-commerce","0","Cart & Checkout Management","1","0","Authenticated Cart Usage","0"
"0","E-commerce","0","Payment","1","0","Successful Payment And Invoice Download","0"
"0","SEO Optimization","1","Technical SEO & Metadata Compliance","0","0","Phân tích SEO chuyên sâu: Trang Test Cases (Test Cases Page)","0"
"0","SEO Optimization","1","Technical SEO & Metadata Compliance","0","0","Phân tích SEO chuyên sâu: Trang danh sách API (API Testing Page)","0"
"0","E-commerce","0","Checkout","1","0","Checkout Without Login","0"
"0","SEO Optimization","1","Technical SEO & Metadata Compliance","0","0","Phân tích SEO chuyên sâu: Trang Liên hệ (Contact Us Page)","0"
"0","Authentication","0","Login","1","0","Valid Login","0"
"0","SEO Optimization","1","Technical SEO & Metadata Compliance","0","0","Phân tích SEO chuyên sâu: Trang chi tiết sản phẩm (Product Details Page)","0"
"0","Authentication","0","Logout Flow","1","0","Valid Logout","0"
"0","E2E User Journey","0","Complete Purchase Flow","1","0","Search, Add to Cart, Checkout, Payment","0"
"0","SEO Optimization","1","Technical SEO & Metadata Compliance","0","0","Phân tích SEO chuyên sâu: Trang giỏ hàng (Cart Page)","0"
"0","SEO Optimization","1","Technical SEO & Metadata Compliance","0","0","Phân tích SEO chuyên sâu: Trang Đăng ký / Đăng nhập (Login/Signup Page)","0"
"0","E-commerce","0","Checkout","1","0","Checkout With Logged In User","0"
"0","SEO Optimization","1","Technical SEO & Metadata Compliance","0","0","Phân tích SEO chuyên sâu: Trang danh sách sản phẩm (Products Page)","0"
